name,slug,product-description,category,brand-partner,system-function,product-page-link,sort-order,seo-title,seo-description
NoTraffic AI Traffic Platform,notraffic-ai-traffic-platform,AI-powered traffic signal optimization platform.,Traffic Control & Management,NoTraffic,AI Traffic Control,,38,NoTraffic AI Traffic Platform | TS&L,AI traffic control from NoTraffic.
PTL2.4x Portable Traffic Signals,ptl2-4x-portable-traffic-signals,Portable traffic signals for work zones and temporary control.,Traffic Control & Management,North America Traffic,Portable Signals,/portable-traffic-signals/ptl2-4x,39,PTL2.4x Portable Traffic Signals | TS&L,NEMA-compliant portable traffic signals.
RCF2.4 Automated Flagger Device,rcf2-4-automated-flagger-device,Automated flagger device for work zone safety.,Traffic Control & Management,North America Traffic,Work Zone Safety,/portable-traffic-signals/rcf2-4,40,RCF2.4 Automated Flagger Device | TS&L,Automated flagger for two-lane work zones.
Traffic Warning Systems,traffic-warning-systems,Traffic warning devices for work zones and pedestrian safety.,Traffic Control & Management,TraffiCalm / Eltec / K&K,Pedestrian Safety,/traffic-warning-devices,41,Traffic Warning Systems | TS&L,Traffic warning devices from Eltec.
Traffic Signal Controllers & Detection,traffic-signal-controllers-detection,Traffic signal controllers and detection systems.,Traffic Control & Management,Oriux,AI Traffic Control,,42,Traffic Signal Controllers & Detection | TS&L,Traffic signal and detection from Oriux.
Message Boards & Arrow Boards,message-boards-arrow-boards,Message boards and arrow boards for traffic control.,Traffic Control & Management,Wanco,Variable Messaging,,43,Message Boards & Arrow Boards | TS&L,Wanco message and arrow boards.
Mobile Camera Trailers,mobile-camera-trailers,Mobile camera trailers for traffic and work zone monitoring.,Traffic Control & Management,TS&L,Mobile Surveillance,,44,Mobile Camera Trailers | TS&L,Mobile camera trailers for traffic and security.
Rubber Speed Humps,rubber-speed-humps,Rubber speed humps for traffic calming.,Traffic Calming & Perimeter,Traffic Logix,Speed Management,/traffic/rubber-traffic-calming/speed-humps,45,Rubber Speed Humps | TS&L,Professional speed hump installation from TS&L.
Rubber Speed Cushions,rubber-speed-cushions,Rubber speed cushions for traffic calming.,Traffic Calming & Perimeter,Traffic Logix,Speed Management,/traffic/rubber-traffic-calming/speed-cushions,46,Rubber Speed Cushions | TS&L,Speed cushions for traffic calming.
Rubber Speed Tables,rubber-speed-tables,Rubber speed tables for traffic calming.,Traffic Calming & Perimeter,Traffic Logix,Speed Management,/traffic/rubber-traffic-calming/speed-tables,47,Rubber Speed Tables | TS&L,Speed tables from Traffic Logix.
Retractable Speed Humps,retractable-speed-humps,Retractable speed humps for flexible traffic calming.,Traffic Calming & Perimeter,Traffic Logix,Speed Management,/traffic/rubber-traffic-calming/retractable-speed-hump,48,Retractable Speed Humps | TS&L,Retractable speed humps from TS&L.
Lane Separators,lane-separators,Rubber lane separators for traffic calming and lane management.,Traffic Calming & Perimeter,Rosehill Highways,Perimeter Control,/traffic/rubber-traffic-calming/lane-separators,49,Lane Separators | TS&L,Lane separators for traffic and perimeter control.
LED Radar Speed Signs,led-radar-speed-signs,LED radar speed display signs for speed management.,Traffic Calming & Perimeter,TS&L,Speed Management,/flashing-signals/products,50,LED Radar Speed Signs | TS&L,Radar speed signs from TS&L.
Bollards - Fixed & Decorative,bollards-fixed-decorative,Fixed and decorative bollards for perimeter control.,Traffic Calming & Perimeter,TS&L,Perimeter Control,/bollard-install,51,Bollards Fixed & Decorative | TS&L,Bollard installation from TS&L.
Bollards - Retractable & Removable,bollards-retractable-removable,Retractable and removable bollards for access control.,Traffic Calming & Perimeter,TS&L,Perimeter Control,/bollard-install,52,Bollards Retractable & Removable | TS&L,Retractable bollards from TS&L.
24/7 Monitoring & Maintenance,24-7-monitoring-maintenance,24/7 monitoring and maintenance for your systems.,Managed Services & Support,TS&L,Monitoring,,53,24/7 Monitoring & Maintenance | TS&L,Round-the-clock monitoring from TS&L.
Platform Management (Nx Go),platform-management-nx-go,Platform management and Nx Go support services.,Managed Services & Support,TS&L,Platform / VMS,,54,Platform Management Nx Go | TS&L,Nx Go platform management from TS&L.
Training & Certification,training-certification,Training and certification for your team and systems.,Managed Services & Support,TS&L,Training,,55,Training & Certification | TS&L,Training and certification from TS&L.
Analytics & Reporting,analytics-reporting,Analytics and reporting services for your operations.,Managed Services & Support,TS&L,Analytics & Reporting,,56,Analytics & Reporting | TS&L,Analytics and reporting from TS&L.
In-House Fabrication,in-house-fabrication,Custom fabrication for brackets mounts and hardware.,Managed Services & Support,TS&L,Fabrication,/in-house-fabrication,57,In-House Fabrication | TS&L,Precision in-house fabrication from TS&L.
Field Service & Installation,field-service-installation,Field service and installation for traffic and safety systems.,Managed Services & Support,TS&L,Field Services,,58,Field Service & Installation | TS&L,Field service and installation from TS&L.
Warranty & Repair Services,warranty-repair-services,Warranty and repair services for your equipment.,Managed Services & Support,TS&L,Warranty & Repair,,59,Warranty & Repair Services | TS&L,Warranty and repair from TS&L.
System Design & Consulting,system-design-consulting,System design and consulting for your projects.,Managed Services & Support,TS&L,Consulting,,60,System Design & Consulting | TS&L,System design and consulting from TS&L.
